URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/CodeSystem/identifier-type-de-basis,1.5.4,active,,IdentifierTypeDeBasis,Identifier Type De Basis,"Liste der Identfikatorentypen des deutschen Basisprofils welche die Standardtypen ergänzen.","ValueSet/identifier-type-de-basis"
http://fhir.de/CodeSystem/kontaktart-de,1.5.4,active,,KontaktArtDe,KontaktArtDe,"Klassifizierung eines Kontaktes mit einer Gesundheitseinrichtung","ValueSet/kontaktart-de"
http://hl7.org/fhir/CodeSystem/medication-statement-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1379",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-statement-status"
http://hl7.org/fhir/CodeSystem/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1380",Medication Status Codes,Medication  status  codes,"Medication Status Codes","ValueSet/medication-status"
http://hl7.org/fhir/CodeSystem/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1378",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","ValueSet/medicationrequest-intent"
http://hl7.org/fhir/CodeSystem/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1377",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","ValueSet/medicationrequest-status"
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.134",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","ValueSet/allergy-intolerance-category"
http://hl7.org/fhir/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.4.130",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","ValueSet/allergy-intolerance-criticality"
http://hl7.org/fhir/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.132",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","ValueSet/allergy-intolerance-type"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/EncounterStatusDe,ValueSet/encounter-status"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/event-timing,4.0.1,active,"2.16.840.1.113883.4.642.4.76",EventTiming,EventTiming,"Real world event relating to the schedule.","ValueSet/event-timing"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/list-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.319",ListMode,ListMode,"The processing mode that applies to this list.","ValueSet/MedikationsListeListModeVS"
http://hl7.org/fhir/list-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.327",ListStatus,ListStatus,"The current state of the list.","ValueSet/list-status"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/reaction-event-severity,4.0.1,draft,"2.16.840.1.113883.4.642.4.136",AllergyIntoleranceSeverity,AllergyIntoleranceSeverity,"Clinical assessment of the severity of a reaction event as a whole, potentially considering multiple different manifestations.","ValueSet/reaction-event-severity"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/ObservationCodesHb,ValueSet/current-smoking-status-uv-ips,ValueSet/ObservationCodesCRP,ValueSet/ObservationCodesPCT,ValueSet/SchwangerschaftsstatusVS,ValueSet/StillstatusVS,ValueSet/ObservationCodesTSH,ValueSet/ObservationCodesSerumkreatinin,ValueSet/ObservationCodesTroponin,ValueSet/SchwangerschaftEtMethodeVS,ValueSet/observation-codes,ValueSet/ObservationCodesThrombozyten,ValueSet/ObservationCodesGFR"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/condition-stage,ValueSet/clinical-findings,ValueSet/encounter-reason,ValueSet/additional-instruction-codes,ValueSet/approach-site-codes,ValueSet/procedure-followup,ValueSet/device-action,ValueSet/medication-form-codes,ValueSet/medication-codes,ValueSet/body-site,ValueSet/ProzedurenKategorieSCT,ValueSet/manifestation-or-symptom,ValueSet/procedure-code,ValueSet/reason-medication-not-given-codes,ValueSet/reason-medication-status-codes,ValueSet/medication-as-needed-reason,ValueSet/VitalSignDE-Koerpergroesse-SNOMED-CT,ValueSet/device-kind,ValueSet/VitalSignDE-Koerpergewicht-SNOMED-CT,ValueSet/performer-role,ValueSet/SctRouteOfAdministration,ValueSet/referencerange-appliesto,ValueSet/route-codes,ValueSet/substance-code,ValueSet/ti-medication-snomed-ct-vs,ValueSet/procedure-outcome,ValueSet/procedure-reason,ValueSet/procedure-category,ValueSet/DiagnosesSCT,ValueSet/condition-code,ValueSet/ProzedurenCodesSCT,ValueSet/allergyintolerance-code,ValueSet/condition-stage-type,ValueSet/procedure-not-performed-reason,ValueSet/observation-methods,ValueSet/administration-method-codes,ValueSet/condition-severity"
http://standardterms.edqm.eu,5 February 2025,active,"0.4.0.127.0.16.1.1.2.1",EDQM_Standard_Terms,EDQM Standard Terms,"Standard terms published by the European Directorate for the Quality of Medicines & HealthCare (EDQM) for pharmaceutical dose forms, routes and methods of administration, containers, closures, administration devices and units of presentation.","ValueSet/medicine-doseform,ValueSet/medicine-route-of-administration"
http://terminology.hl7.org/CodeSystem/allergyintolerance-clinical,1.0.1,active,"2.16.840.1.113883.4.642.1.1373",AllergyIntoleranceClinicalStatusCodes,AllergyIntolerance Clinical Status Codes,"Preferred value set for AllergyIntolerance Clinical Status.","ValueSet/allergyintolerance-clinical"
http://terminology.hl7.org/CodeSystem/allergyintolerance-verification,1.0.1,active,"2.16.840.1.113883.4.642.1.1371",AllergyIntoleranceVerificationStatus,AllergyIntolerance Verification Status,"The verification status to support or decline the clinical status of the allergy or intolerance.","ValueSet/allergyintolerance-verification"
http://terminology.hl7.org/CodeSystem/common-tags,1.0.1,active,"2.16.840.1.113883.4.642.1.1067",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","ValueSet/common-tags"
http://terminology.hl7.org/CodeSystem/condition-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1073",ConditionCategoryCodes,Condition Category Codes,"Preferred value set for Condition Categories.","ValueSet/condition-category"
http://terminology.hl7.org/CodeSystem/condition-clinical,3.0.0,active,"2.16.840.1.113883.4.642.1.1074",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","ValueSet/condition-clinical"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/condition-ver-status"
http://terminology.hl7.org/CodeSystem/conformance-expectation,1.0.0,draft,"2.16.840.1.113883.4.642.1.1271",ConformanceExpectation,ConformanceExpectation,"Indicates the degree of adherence to a specified behavior or capability expected for a system to be deemed conformant with a specification.","ValueSet/conformance-expectation"
http://terminology.hl7.org/CodeSystem/data-absent-reason,1.0.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/diagnosis-role,1.1.1,active,"2.16.840.1.113883.4.642.1.1054",DiagnosisRole,Diagnosis Role,"This value set defines a set of codes that can be used to express the role of a diagnosis on the Encounter or EpisodeOfCare record.","ValueSet/Diagnosesubtyp,ValueSet/diagnosis-role"
http://terminology.hl7.org/CodeSystem/diet,1.0.1,active,"2.16.840.1.113883.4.642.1.1091",Diet,Diet,"This value set defines a set of codes that can be used to indicate dietary preferences or restrictions a patient may have.","ValueSet/encounter-diet"
http://terminology.hl7.org/CodeSystem/discharge-disposition,1.0.1,active,"2.16.840.1.113883.4.642.1.1093",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","ValueSet/encounter-discharge-disposition"
http://terminology.hl7.org/CodeSystem/dose-rate-type,1.0.0,draft,"2.16.840.1.113883.4.642.1.1069",DoseAndRateType,DoseAndRateType,"The kind of dose or rate specified.","ValueSet/dose-rate-type"
http://terminology.hl7.org/CodeSystem/encounter-special-arrangements,1.0.1,active,"2.16.840.1.113883.4.642.1.1090",SpecialArrangements,Special arrangements,"This value set defines a set of codes that can be used to indicate the kinds of special arrangements in place for a patients visit.","ValueSet/encounter-special-arrangements"
http://terminology.hl7.org/CodeSystem/encounter-type,1.0.1,active,"2.16.840.1.113883.4.642.1.1088",EncounterType,Encounter type,"This example value set defines a set of codes that can be used to indicate the type of encounter: a specific code indicating type of service provided.","ValueSet/encounter-type"
http://terminology.hl7.org/CodeSystem/list-empty-reason,1.0.1,active,"2.16.840.1.113883.4.642.1.1106",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","ValueSet/list-empty-reason"
http://terminology.hl7.org/CodeSystem/list-example-use-codes,1.0.1,active,"2.16.840.1.113883.4.642.1.1105",ExampleUseCodesForList,Example Use Codes for List,"Example use codes for the List resource - typical kinds of use.","ValueSet/list-example-codes"
http://terminology.hl7.org/CodeSystem/list-order,2.0.0,active,"2.16.840.1.113883.4.642.1.1107",ListOrderCodes,List Order Codes,"Base values for the order of item lists in resources.","ValueSet/list-order"
http://terminology.hl7.org/CodeSystem/location-physical-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1108",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.  This includes several 'non physical' codes which are still considered a location.","ValueSet/ISiKLocationPhysicalType"
http://terminology.hl7.org/CodeSystem/med-admin-perform-function,1.0.1,active,"2.16.840.1.113883.4.642.1.1112",MedicationAdministrationPerformerFunctionCodes,MedicationAdministration Performer Function Codes,"MedicationAdministration Performer Function Codes","ValueSet/med-admin-perform-function"
http://terminology.hl7.org/CodeSystem/medication-admin-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.1111",MedicationAdministration Category Codes,Medication administration  category  codes,"MedicationAdministration Category Codes","ValueSet/medication-admin-category"
http://terminology.hl7.org/CodeSystem/medication-admin-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1311",MedicationAdministration Status Codes,Medication administration  status  codes,"MedicationAdministration Status Codes","ValueSet/medication-admin-status"
http://terminology.hl7.org/CodeSystem/medication-statement-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.1120",Medication usage category codes,Medication usage category codes,"Medication Status Codes","ValueSet/medication-statement-category"
http://terminology.hl7.org/CodeSystem/medicationrequest-category,1.0.0,draft,"2.16.840.1.113883.4.642.1.1323",MedicationRequestCategoryCodes,MedicationRequest Category Codes,"MedicationRequest Category Codes","ValueSet/medicationrequest-category"
http://terminology.hl7.org/CodeSystem/medicationrequest-course-of-therapy,1.0.1,active,"2.16.840.1.113883.4.642.1.1327",MedicationRequestCourseOfTherapyCodes,MedicationRequest Course of Therapy Codes,"MedicationRequest Course of Therapy Codes","ValueSet/medicationrequest-course-of-therapy"
http://terminology.hl7.org/CodeSystem/medicationrequest-status-reason,1.0.1,active,"2.16.840.1.113883.4.642.1.1325",MedicationRequestStatusReasonCodes,MedicationRequest Status Reason Codes,"MedicationRequest Status Reason Codes","ValueSet/medicationrequest-status-reason"
http://terminology.hl7.org/CodeSystem/observation-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/observation-category"
http://terminology.hl7.org/CodeSystem/participant-type,1.0.1,active,"2.16.840.1.113883.4.642.1.1089",ParticipantType,Participant type,"This value set defines a set of codes that can be used to indicate how an individual participates in an encounter.","ValueSet/encounter-participant-type"
http://terminology.hl7.org/CodeSystem/reason-medication-given,1.0.1,active,"2.16.840.1.113883.4.642.1.1110",ReasonMedicationGivenCodes,Reason Medication Given Codes,"This value set is provided as an example. The value set to instantiate this attribute should be drawn from a robust terminology code system that consists of or contains concepts to support the medication process.","ValueSet/reason-medication-given-codes"
http://terminology.hl7.org/CodeSystem/referencerange-meaning,1.0.1,active,"2.16.840.1.113883.4.642.1.1124",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","ValueSet/referencerange-meaning"
http://terminology.hl7.org/CodeSystem/risk-probability,1.0.1,active,"2.16.840.1.113883.4.642.1.1133",RiskProbability,Risk Probability,"Codes representing the likelihood of a particular outcome in a risk assessment.","ValueSet/risk-probability"
http://terminology.hl7.org/CodeSystem/service-type,1.1.1,active,"2.16.840.1.113883.4.642.1.1145",ServiceType,Service type,"This value set defines an example set of codes of service-types.","ValueSet/service-type"
http://terminology.hl7.org/CodeSystem/v2-0092,3.0.0,active,"2.16.840.1.113883.18.36",ReAdmissionIndicator,re-admissionIndicator,"Code system of concepts which are used to specify that a patient is being re admitted to a healthcare facilityin from which they were discharged, and indicates the circumstances around such re-admission.  Used in HL7 Version 2.x messagine in the PV1 segment.","ValueSet/v2-0092"
http://terminology.hl7.org/CodeSystem/v2-0131,3.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/patient-contactrelationship"
http://terminology.hl7.org/CodeSystem/v2-0203,5.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type,ValueSet/identifier-type-de-basis"
http://terminology.hl7.org/CodeSystem/v2-0532,3.0.0,active,"2.16.840.1.113883.18.347",ExpandedYesNoIndicator,expandedYes-NoIndicator,"HL7-defined code system of concepts used to specify an expansion on the original Yes/No indicator table by including ""flavors of null"".  It is intended to be applied to fields where the response is not limited to ""yes"" or ""no"".  Used in numerous locations in HL7 Version 2.x messaging.","ValueSet/yes-no-unknown-not-asked"
http://terminology.hl7.org/CodeSystem/v3-ActCode,9.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/EncounterClassDE,ValueSet/v3-ActEncounterCode"
http://terminology.hl7.org/CodeSystem/v3-ActPriority,3.0.0,active,"2.16.840.1.113883.5.7",ActPriority,ActPriority,"A set of codes (e.g., for routine, emergency), specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.","ValueSet/v3-ActPriority"
http://terminology.hl7.org/CodeSystem/v3-ActReason,3.1.0,active,"2.16.840.1.113883.5.8",ActReason,ActReason,"A set of codes specifying the motivation, cause, or rationale of an Act, when such rationale is not reasonably represented as an ActRelationship of type ""has reason"" linking to another Act.    *Examples:* Example reasons that might qualify for being coded in this field might be: ""routine requirement"", ""infectious disease reporting requirement"", ""on patient request"", ""required by law"".","ValueSet/v3-SubstanceAdminSubstitutionReason"
http://terminology.hl7.org/CodeSystem/v3-EncounterSpecialCourtesy,3.0.0,active,"2.16.840.1.113883.5.40",EncounterSpecialCourtesy,EncounterSpecialCourtesy,"**** MISSING DESCRIPTION ****","ValueSet/encounter-special-courtesy"
http://terminology.hl7.org/CodeSystem/v3-EntityNamePartQualifier,3.0.0,active,"2.16.840.1.113883.5.43",EntityNamePartQualifier,EntityNamePartQualifier,"*OpenIssue:* Needs description","ValueSet/name-part-qualifier"
http://terminology.hl7.org/CodeSystem/v3-EntityNamePartQualifierR2,3.0.0,active,"2.16.840.1.113883.5.1122",EntityNamePartQualifierR2,EntityNamePartQualifierR2,"**Description:**The qualifier is a set of codes each of which specifies a certain subcategory of the name part in addition to the main name part type. For example, a given name may be flagged as a nickname, a family name may be a pseudonym or a name of public records.","ValueSet/name-part-qualifier"
http://terminology.hl7.org/CodeSystem/v3-GTSAbbreviation,3.0.0,active,"2.16.840.1.113883.5.1022",GTSAbbreviation,GTSAbbreviation,"*Open Issue:* It appears that the printnames are suboptimal and should be improved for many of the existing codes.","ValueSet/timing-abbreviation"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/marital-status,ValueSet/encounter-special-courtesy"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,3.0.0,active,"2.16.840.1.113883.5.83",ObservationInterpretation,ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" / ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/observation-interpretation"
http://terminology.hl7.org/CodeSystem/v3-ParticipationType,5.0.0,active,"2.16.840.1.113883.5.90",ParticipationType,ParticipationType,"A code specifying the meaning and purpose of every Participation instance. Each of its values implies specific constraints on the Roles undertaking the participation.","ValueSet/encounter-participant-type"
http://terminology.hl7.org/CodeSystem/v3-TimingEvent,3.0.0,active,"2.16.840.1.113883.5.139",TimingEvent,TimingEvent,"**** MISSING DESCRIPTION ****","ValueSet/event-timing"
http://terminology.hl7.org/CodeSystem/v3-substanceAdminSubstitution,3.0.0,active,"2.16.840.1.113883.5.1070",SubstanceAdminSubstitution,Substance Admin Substitution,"Identifies what sort of change is permitted or has occurred between the therapy that was ordered and the therapy that was/will be provided.","ValueSet/v3-ActSubstanceAdminSubstitutionCode"
http://unitsofmeasure.org,3.0.1,active,"2.16.840.1.113883.6.8",UCUM,Unified Code for Units of Measure (UCUM),"The Unified Code for Units of Measure (UCUM) is a code system intended to include all units of measures being contemporarily used in international science, engineering, and business. The purpose is to facilitate unambiguous electronic communication of quantities together with their units. The focus is on electronic communication, as opposed to communication between humans. A typical application of The Unified Code for Units of Measure are electronic data interchange (EDI) protocols, but there is nothing that prevents it from being used in other types of machine communication.","ValueSet/VitalSignDE-Body-Weigth-UCUM,ValueSet/ObservationUnitsTSH,ValueSet/ObservationUnitsSerumkreatinin,ValueSet/ObservationUnitsHb,ValueSet/ObservationUnitsThrombozyten,ValueSet/ObservationUnitsPCT,ValueSet/ObservationUnitsCRP,ValueSet/UcumVitalsCommonDE,ValueSet/ObservationUnitsTroponin,ValueSet/ObservationUnitsGFR,ValueSet/units-of-time,ValueSet/VitalSignDE-Body-Length-UCUM"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
urn:iso:std:iso:3166,1.0.1,active,"1.0.3166.1",ISO3166Part1,ISO 3166-1 Codes for the representation of names of countries and their subdivisions — Part 1: Country code,"ISO 3166-1 establishes codes that represent the current names of countries, dependencies, and other areas of particular geopolitical interest, on the basis of country names obtained from the United Nations.","ValueSet/iso3166-1-2"
urn:iso:std:iso:3166-2:de,1.5.4,active,,CodeSystemISO31662DE,ISO-3166-2:de-Laendercodes,"Die Liste der ISO-3166-2:DE Codes für Deutschland enthält die Codes für die deutschen Länder.","ValueSet/ValueSetISO31662DE"
urn:oid:1.2.36.1.2001.1001.101.104.16592,4.0.1,draft,"1.2.36.1.2001.1001.101.104.16592,2.16.840.1.113883.4.642.4.321",PatientMedicineChangeTypes,Patient Medicine Change Types,"Example Item Flags for the List Resource. In this case, these are the kind of flags that would be used on a medication list at the end of a consultation.","ValueSet/list-item-flag"
